WARNING: 09:38:03 - main_pipeline.interpreter:  Encountered exception in validating flowmeter SLI2000: Bad checksum. Raw output [126, 0, 53, 0, 2, 78, 125, 94, 252, 126]
WARNING: 09:38:03 - main_pipeline.interpreter:  Unexpected error in processing flowmeter SLI2000: 'bool' object is not iterable
WARNING: 09:38:03 - main_pipeline.interpreter:  Recieved error message from laser distance: g0@E256
 Check manual for error code. Not updating measurement
INFO: 09:38:03 - sensor_interfaces.picarro_interface:  Picarro queried
INFO: 09:38:03 - sensor_interfaces.picarro_interface:  Picarro queried
WARNING: 09:38:04 - main_pipeline.interpreter:  Recieved error message from laser distance: g0@E256
 Check manual for error code. Not updating measurement
INFO: 09:38:04 - sensor_interfaces.picarro_interface:  Picarro queried
INFO: 09:38:04 - sensor_interfaces.picarro_interface:  Picarro queried
WARNING: 09:38:05 - main_pipeline.interpreter:  Recieved error message from laser distance: g0@E256
 Check manual for error code. Not updating measurement
INFO: 09:38:05 - sensor_interfaces.picarro_interface:  Picarro queried
INFO: 09:38:05 - sensor_interfaces.picarro_interface:  Picarro queried
WARNING: 09:38:06 - main_pipeline.interpreter:  Recieved error message from laser distance: g0@E256
 Check manual for error code. Not updating measurement
INFO: 09:38:06 - sensor_interfaces.picarro_interface:  Picarro queried
INFO: 09:38:06 - sensor_interfaces.picarro_interface:  Picarro queried
WARNING: 09:38:07 - main_pipeline.interpreter:  Recieved error message from laser distance: g0@E256
 Check manual for error code. Not updating measurement
INFO: 09:38:07 - sensor_interfaces.picarro_interface:  Picarro queried
INFO: 09:38:08 - sensor_interfaces.picarro_interface:  Picarro queried
WARNING: 09:38:08 - main_pipeline.interpreter:  Recieved error message from laser distance: g0@E256
 Check manual for error code. Not updating measurement
INFO: 09:38:08 - sensor_interfaces.picarro_interface:  Picarro queried
INFO: 09:38:08 - sensor_interfaces.picarro_interface:  Picarro queried
WARNING: 09:38:09 - main_pipeline.interpreter:  Encountered exception in validating flowmeter SLS1500: Bad checksum. Raw output [126, 0, 53, 0, 2, 125, 51, 184, 253, 126]
WARNING: 09:38:09 - main_pipeline.interpreter:  Encountered exception in validating flowmeter SLS1500: Bad checksum. Raw output [126, 0, 53, 0, 2, 125, 51, 184, 253, 126]
WARNING: 09:38:09 - main_pipeline.interpreter:  Encountered exception in validating flowmeter SLS1500: Bad checksum. Raw output [126, 0, 53, 0, 2, 125, 51, 184, 253, 126]
WARNING: 09:38:09 - main_pipeline.interpreter:  Encountered exception in validating flowmeter SLS1500: Bad checksum. Raw output [126, 0, 53, 0, 2, 125, 51, 184, 253, 126]
WARNING: 09:38:09 - main_pipeline.interpreter:  Unexpected error in processing flowmeter SLS1500: 'bool' object is not iterable
WARNING: 09:38:09 - main_pipeline.interpreter:  Recieved error message from laser distance: g0@E256
 Check manual for error code. Not updating measurement
INFO: 09:38:09 - sensor_interfaces.picarro_interface:  Picarro queried
INFO: 09:38:10 - sensor_interfaces.picarro_interface:  Picarro queried
WARNING: 09:38:10 - main_pipeline.interpreter:  Encountered exception in validating flowmeter SLS1500: Bad checksum. Raw output [126, 0, 53, 0, 2, 125, 51, 4, 177, 126]
WARNING: 09:38:10 - main_pipeline.interpreter:  Encountered exception in validating flowmeter SLS1500: Bad checksum. Raw output [126, 0, 53, 0, 2, 125, 51, 4, 177, 126]
WARNING: 09:38:10 - main_pipeline.interpreter:  Encountered exception in validating flowmeter SLS1500: Bad checksum. Raw output [126, 0, 53, 0, 2, 125, 51, 4, 177, 126]
WARNING: 09:38:10 - main_pipeline.interpreter:  Encountered exception in validating flowmeter SLS1500: Bad checksum. Raw output [126, 0, 53, 0, 2, 125, 51, 4, 177, 126]
WARNING: 09:38:10 - main_pipeline.interpreter:  Encountered exception in validating flowmeter SLS1500: Bad checksum. Raw output [126, 0, 53, 0, 2, 125, 51, 4, 177, 126]
WARNING: 09:38:10 - main_pipeline.interpreter:  Encountered exception in validating flowmeter SLS1500: Bad checksum. Raw output [126, 0, 53, 0, 2, 125, 51, 4, 177, 126]
WARNING: 09:38:10 - main_pipeline.interpreter:  Encountered exception in validating flowmeter SLS1500: Bad checksum. Raw output [126, 0, 53, 0, 2, 125, 51, 4, 177, 126]
WARNING: 09:38:10 - main_pipeline.interpreter:  Unexpected error in processing flowmeter SLS1500: 'bool' object is not iterable
WARNING: 09:38:10 - main_pipeline.interpreter:  Recieved error message from laser distance: g0@E256
 Check manual for error code. Not updating measurement
INFO: 09:38:10 - sensor_interfaces.picarro_interface:  Picarro queried
INFO: 09:38:10 - sensor_interfaces.picarro_interface:  Picarro queried
WARNING: 09:38:11 - main_pipeline.interpreter:  Recieved error message from laser distance: g0@E256
 Check manual for error code. Not updating measurement
INFO: 09:38:11 - sensor_interfaces.picarro_interface:  Picarro queried
INFO: 09:38:11 - sensor_interfaces.picarro_interface:  Picarro queried
WARNING: 09:38:12 - main_pipeline.interpreter:  Recieved error message from laser distance: g0@E256
 Check manual for error code. Not updating measurement
INFO: 09:38:12 - sensor_interfaces.picarro_interface:  Picarro queried
INFO: 09:38:12 - sensor_interfaces.picarro_interface:  Picarro queried
WARNING: 09:38:13 - main_pipeline.interpreter:  Recieved error message from laser distance: g0@E256
 Check manual for error code. Not updating measurement
INFO: 09:38:13 - sensor_interfaces.picarro_interface:  Picarro queried
INFO: 09:38:13 - sensor_interfaces.picarro_interface:  Picarro queried
WARNING: 09:38:14 - main_pipeline.interpreter:  Recieved error message from laser distance: g0@E256
 Check manual for error code. Not updating measurement
