Picarro Gas: time (epoch),Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: CO,Picarro Gas: H2O,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min)
1726275622.1024141,-0.99,-0.001,-0.006,0.021,1726275621.2669108,0.0,-3.2,1726275621.1887336,0,1726275621.1887336,8.4,-0.002
1726275622.9982944,-0.99,-0.001,-0.006,0.021,1726275622.180598,0.0,-3.2,1726275622.1024141,0,1726275622.1024141,8.8,0.0
1726275623.8946397,-0.99,-0.001,-0.006,0.021,1726275623.0764709,0.0,-3.2,1726275622.9982944,0,1726275622.9982944,9.2,-0.004
1726275624.8055363,-0.99,-0.001,-0.006,0.021,1726275623.9728334,0.0,-3.2,1726275623.8946397,0,1726275623.8946397,8.8,-0.012
1726275625.70119,-0.99,-0.001,-0.006,0.021,1726275624.8839557,0.0,-3.3,1726275624.8055363,0,1726275624.8055363,8.6,0.004
1726275626.5978525,-0.99,-0.001,-0.006,0.021,1726275625.7796092,0.0,-3.3,1726275625.70119,0,1726275625.70119,9.4,-0.006
1726275627.4946358,-0.99,-0.001,-0.006,0.021,1726275626.6760385,0.0,-3.3,1726275626.5978525,0,1726275626.5978525,7.6,0.002
1726275628.3913538,-0.99,-0.001,-0.006,0.021,1726275627.5727847,0.0,-3.3,1726275627.4946358,0,1726275627.4946358,8.8,-0.006
1726275629.302376,-0.99,-0.001,-0.006,0.021,1726275628.485077,0.0,-3.3,1726275628.3913538,0,1726275628.3913538,8.4,0.004
1726275630.2298577,-0.99,-0.001,-0.006,0.021,1726275629.396551,0.0,-3.4,1726275629.302376,0,1726275629.302376,8.2,0.0
1726275631.1592295,-0.99,-0.001,-0.006,0.021,1726275630.3080382,0.0,-3.4,1726275630.2298577,0,1726275630.2298577,9.2,0.002
1726275632.1185198,-0.99,-0.001,-0.006,0.021,1726275631.2376103,0.0,-3.4,1726275631.1592295,0,1726275631.1592295,8.0,-0.004
1726275633.0307436,-0.99,-0.001,-0.006,0.021,1726275632.1967065,0.0,-3.4,1726275632.1185198,0,1726275632.1185198,8.2,0.002
1726275633.9581854,-0.99,-0.001,-0.006,0.021,1726275633.108916,0.0,-3.4,1726275633.0307436,0,1726275633.0307436,8.0,0.002
1726275634.8702908,-0.99,-0.001,-0.006,0.021,1726275634.0363948,0.0,-3.5,1726275633.9581854,0,1726275633.9581854,8.8,0.002
1726275635.7823155,-0.99,-0.001,-0.006,0.021,1726275634.948399,0.0,-3.5,1726275634.8702908,0,1726275634.8702908,8.6,0.002
1726275636.6943743,-0.99,-0.001,-0.006,0.021,1726275635.860424,0.0,-3.5,1726275635.7823155,0,1726275635.7823155,7.8,0.004
